Acabamos acabar
de de
aprovar aprovar
na em_o
Câmara câmara
projeto projeto
da de_o
nossa nosso
bancada bancada
@PTnaCamara twitterhandle
, ,
do de_o
qual qual
sou ser
coautor coautor
, ,
que que
institui instituir
o o
vale-gás vale-gás
para para
ajudar ajudar
as o
famílias família
de de
baixa baixo
renda renda
na em_o
compra compra
do de_o
gás gás
de de
cozinha cozinha
, ,
que que
hoje hoje
, ,
no em_o
Brasil brasil
de de
Bolsonaro bolsonaro
, ,
está estar
custando custar
mais mais
de de
R$ r$
100 100
! !
