Mas mas
não não
tinham ter
desarmado desarmar
a o
população população
? ?
thinking_face_e thinking_face_e
Culpa culpa
do de_o
Bolsonaro bolsonaro
que que
tá estar
armando armar
a o
população população
. .
HASHTAG hashtag
#sqn_h #sqn_h
Com com
certeza certeza
esse esse
" "
cidadão cidadão
de de
bem bem
" "
fez fazer
todos todo
os o
exames exame
práticos prático
, ,
exame exame
psicológico psicológico
e e
pagou pagar
todas todo
as o
taxas taxa
para para
estar estar
portando portar
uma um
arma arma
. .
