@ValS265451870 twitterhandle_PROPN_Masc_Sing
@Guthbsb twitterhandle_PROPN_Sing
@marcia_miami twitterhandle_VERB_Fin_Sing
Tá estar_AUX_Fin_Sing
errado errar_VERB_Part
, ,
EU eu_VERB_Fin_Sing
podendo poder_AUX_Ger
m m_NOUN_Masc_Plur
. .
a o_DET_Fem_Sing
. .
t t_NOUN_Fem_Sing
. .
a o_DET_Fem_Sing
. .
v v_PROPN_Sing
. .
a a_ADP
um um_DET_Masc_Sing
FDP fdp_PROPN_Masc_Sing
desse dessar_VERB_Fin_Sing
, ,
mas mas_CCONJ
vc vc_PROPN_Masc_Sing
viu ver_VERB_Fin_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
tirando tirar_VERB_Part
foto foto_NOUN_Fem_Sing
c c_NOUN_Masc_Sing
ele ele_PRON_Masc_Sing
? ?
Mas mas_CCONJ
eu eu_PRON_Sing
traficante traficante_NOUN_Masc_Sing
tirando tirar_VERB_Part
c c_NOUN_Masc_Sing
lulu lulu_NOUN_Masc_Sing
, ,
sabe saber_VERB_Fin_Sing
q q_NOUN_Masc_Sing
um um_DET_Masc_Sing
Noia noia_PROPN_Masc_Sing
faz fazer_VERB_Fin_Sing
c c_NOUN_Masc_Sing
a a_ADP
família família_NOUN_Fem_Sing
por por_ADP
causa causa_NOUN
de de_ADP
droga droga_NOUN_Fem_Sing
? ?
É ser_AUX_Fin_Sing
dor dor_NOUN_Fem_Sing
e e_CCONJ
destruição destruição_NOUN_Fem_Sing
. .
. .
mas mas_CCONJ
o o_DET_Masc_Sing
q q_NOUN_Masc_Sing
peso peso_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
q q_NOUN_Masc_Sing
um um_NUM
condena condenar_VERB_Fin_Sing
outro outro_PRON_Masc_Sing
apoia apoiar_VERB_Fin_Sing
e e_CCONJ
eu eu_PRON_Sing
me eu_PRON_Sing
coloco colocar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
lugar lugar_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
vítima vítima_NOUN_Fem_Sing
ñ ñ_ADJ_Fem_Sing
do de_o_ADP_DET_Masc_Sing
vagabundo vagabundo_NOUN_Masc_Sing
