Governo governo
desidratou desidratou
o o
Bolsa bolsa
Família família
e e
agora agora
quer querer
acabar acabar
de de
vez vez
com com
o o
mais mais
importante importante
programa programa
de de
transferência transferência
de de
renda renda
copiado copiar
pelo por_o
mundo mundo
afora afora
. .
Rompeu romper
com com
o o
ciclo ciclo
vicioso vicioso
da de_o
pobreza pobreza
e e
os o
efeitos efeito
na em_o
saúde saúde
e e
educação educação
foram ser
importantíssimos importante
. .
Bolsonaro bolsonaro
é ser
uma um
tragédia tragédia
pro pro
país país
. .
