HASHTAG hashtag
#fantastico_h #fantastico_h
exibindo exibir
pessoas pessoa
ricas rico
, ,
familiares familiar
de de
políticos político
recebendo receber
auxílio auxílio
emergencial emergencial
e e
debochando debochar
disso disso
. .
Gente gente
q q
fez fazer
protesto protesto
contra contra
a o
corrupção corrupção
( (
aquela aquele
família família
tradicional tradicional
brasileira brasileiro
q q
veste vestir
camisa camisa
amarela amarelo
) )
tirando tirar
da de_o
boca boca
e e
da de_o
mesa mesa
de de
quem quem
não não
tem ter
. .
Ódio ódio
nível nível
hard hard
! !
face_with_symbols_on_mouth_e face_with_symbols_on_mouth_e
