Confrontados confrontar_VERB_Part_Masc_Plur
com com_ADP
a o_DET_Fem_Sing
suspeita suspeita_NOUN_Fem_Sing
de de_ADP
q q_NOUN_Masc_Sing
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
pres pres_NOUN_Masc_Plur
. .
desviou desviar_VERB_Fin_Sing
dinheiro dinheiro_NOUN_Masc_Sing
público público_ADJ_Masc_Sing
p p_NOUN_Masc_Sing
/ /
pagar pagar_VERB_Inf
despesas despesa_NOUN_Fem_Plur
pessoais pessoal_ADJ_Fem_Plur
e e_CCONJ
aumentar aumentar_VERB_Inf
seu seu_DET_Masc_Sing
patrimônio patrimônio_NOUN_Masc_Sing
, ,
os o_DET_Masc_Plur
ricos rico_NOUN_Masc_Plur
afirmam afirmar_VERB_Fin_Plur
que que_SCONJ
o o_DET_Masc_Sing
' '
PT pt_PROPN_Masc_Sing
roubava roubar_VERB_Fin_Sing
bilhões bilhão_NOUN_Masc_Plur
' '
. .
Os o_DET_Masc_Plur
+ +
pobres pobre_ADJ_Masc_Plur
respondem responder_VERB_Fin_Plur
que que_SCONJ
' '
todo todo_DET_Masc_Sing
político político_NOUN_Masc_Sing
rouba roubar_VERB_Fin_Sing
, ,
mas mas_CCONJ
esse esse_PRON_Masc_Sing
está estar_AUX_Fin_Sing
me eu_PRON_Sing
ajudando ajudar_VERB_Ger
' '
