@jairbolsonaro twitterhandle
Presidente presidente
Bolsonaro bolsonaro
te tu
amamos amar
ainda ainda
mais mais
, ,
é é
temos ter
orgulho orgulho
de de
você você
e e
sua seu
família família
, ,
que que
Deus deus
os o
abençoem abençoar
sempre sempre
raising_hands_e raising_hands_e
folded_hands_e folded_hands_e
É ser
só só
podemos poder
agradecer agradecer
vc vc
por por
esses esse
quatro quatro
anos ano
de de
felicidade felicidade
que que
nos em_o
brasileiros brasileiro
Pátriotas pátriotas
passamos passar
victory_hand_e victory_hand_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
flag_brazil_e flag_brazil_e
green_heart_e green_heart_e
blue_heart_e blue_heart_e
yellow_heart_e yellow_heart_e
backhand_index_pointing_left_e backhand_index_pointing_left_e
