No em_o
mês mês
passado passado
, ,
os o
cartões cartão
exclusivos exclusivo
da de_o
família família
Bolsonaro bolsonaro
, ,
— -
pago pagar
pelo por_o
povo povo
, ,
— -
foram ser
usados usar
em em
compras compra
que que
somaram somar
R$ r$
1 1
, ,
5 5
milhão milhão
( (
isso isso
o o
que que
ele ele
deixa deixar
a o
imprensa imprensa
saber saber
. .
A o
outra outro
parte parte
de de
gasto gasto
está estar
em em
sigilo sigilo
) )
. .
Bolsonaro bolsonaro
passou passar
os o
últimos último
30dias 30dias
de de
dezembro dezembro
em em
férias férias
