Bom bom
sábado sábado
, ,
meus meu
amores amor
two_hearts_e two_hearts_e
flag_brazil_e flag_brazil_e
EXÉRCITO exército
BOLSONARO bolsonaro
flag_brazil_e flag_brazil_e
EM em
SUAS suas
POSIÇÕES posições
? ?
BRASIL brasil
ACIMA acimar
DE de
TUDO tudo
, ,
DEUS deus
ACIMA acima
DE de
TODOS todos
, ,
TALQUEI talquei
? ?
? ?
1•PASSO 1•passo
( (
RT rt
) )
counterclockwise_arrows_button_e counterclockwise_arrows_button_e
2•PASSO 2•passo
( (
FV fv
) )
yellow_heart_e yellow_heart_e
3•PASSO 3•passo
ME me
( (
SIGA siga
) )
E e
A o
TODOS todos
QUE que
FV fv
( (
green_heart_e green_heart_e
) )
E e
AOS aos
QUE que
TE te
SEGUIREM seguirem
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
HASHTAG hashtag
#direitaunida_h #direitaunida_h
HASHTAG hashtag
#direitaseguedireita_h #direitaseguedireita_h
