@FlavioBolsonaro twitterhandle_VERB_Fin_Sing
@Magnlia72693633 twitterhandle_NUM
@tarcisiogdf twitterhandle_NOUN_Masc_Sing
@jairbolsonaro twitterhandle_ADJ_Masc_Sing
Deus deus_PROPN_Masc_Sing
Abençoe abençoar_VERB_Fin_Sing
as o_DET_Fem_Plur
campanhas campanha_NOUN_Fem_Plur
de de_ADP
Jair jair_PROPN_Masc_Sing
Messias messias_PROPN_Sing
Bolsonaro bolsonaro_PROPN_Sing
para para_ADP
Presidente presidente_NOUN_Masc_Sing
e e_CCONJ
o o_DET_Masc_Sing
Tarcísio tarcísio_PROPN_Masc_Sing
para para_ADP
Governador governador_NOUN_Masc_Sing
folded_hands_e folded_hands_e
flag_brazil_e flag_brazil_e
smiling_face_with_hearts_e smiling_face_with_hearts_e
clapping_hands_e clapping_hands_e
