@luciocaramori twitterhandle_VERB_Fin_Sing
@danielflorencio twitterhandle_NOUN_Masc_Sing
@eoqgente twitterhandle_ADJ_Masc_Sing
Estou estar_AUX_Fin_Sing
mentindo mentir_VERB_Ger
? ?
? ?
? ?
Me eu_PRON_Masc_Sing
fale falar_VERB_Fin_Sing
sobre sobre_ADP
o o_DET_Masc_Sing
fundo fundo_NOUN_Masc_Sing
eleitoral eleitoral_ADJ_Masc_Sing
? ?
? ?
? ?
Uma um_DET_Fem_Sing
carniça carniça_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
nenhum nenhum_PRON_Masc_Sing
dos de_o_ADP_DET_Masc_Plur
outros outro_PRON_Masc_Plur
abre abrir_VERB_Fin_Sing
mão mão_NOUN_Fem_Sing
. .
. .
. .
. .
Colocaram colocar_VERB_Fin_Plur
na em_o_ADP_DET_Fem_Sing
presidência presidência_NOUN_Fem_Sing
um um_DET_Masc_Sing
analfabeto analfabeto_NOUN_Masc_Sing
e e_CCONJ
uma um_DET_Fem_Sing
terrorista terrorista_ADJ_Fem_Sing
e e_CCONJ
agora agora_ADV
Bolsonaro bolsonaro_PROPN_Masc_Sing
só só_ADV
é ser_AUX_Fin_Sing
bom bom_ADJ_Masc_Sing
se se_SCONJ
for ser_AUX_Fin_Sing
um um_DET_Masc_Sing
Deus deus_PROPN_Masc_Sing
. .
. .
. .
kkk kkk_NOUN_Masc_Sing
Vocês você_PRON_Fem_Plur
são ser_AUX_Fin_Plur
esquerdopatas esquerdopatas_ADJ_Masc_Plur
alucinados alucinar_VERB_Part_Masc_Plur
. .
. .
. .
