Depois depois_ADV
do de_o_ADP_DET_Masc_Sing
debate debate_NOUN_Masc_Sing
os o_DET_Masc_Plur
eleitores eleitor_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
encheram encher_VERB_Fin_Plur
as o_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
da de_o_ADP_DET_Fem_Sing
Renata renata_PROPN_Fem_Sing
Vasconcellos vasconcellos_PROPN_Fem_Sing
de de_ADP
palavrões palavrão_NOUN_Masc_Plur
e e_CCONJ
ameaças ameaça_NOUN_Fem_Plur
curioso curioso_ADJ_Masc_Sing
pq pq_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
mesma mesmo_ADJ_Fem_Sing
galera galera_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
promete prometer_VERB_Fin_Sing
usar usar_VERB_Inf
arma arma_NOUN_Fem_Sing
com com_ADP
consciência consciência_NOUN_Fem_Sing
