@AnaPaulaVolei twitterhandle
Ana ana
Paula paula
, ,
Já já
passou passar
da de_o
hora hora
de de
cobrar cobrar
alguma algum
ação ação
do de_o
Bolsonaro bolsonaro
e e
das de_o
FAs fas
. .
Estamos estar
a a
quase quase
1 1
nes nes
nas em_o
portas porta
dos de_o
quartéis quartel
e e
os o
covardes covarde
nada nada
fazem fazer
. .
Não não
podemos poder
entregar entregar
o o
Brasil brasil
p p
os o
comunistas comunista
defecar defecar
em em
nossa nosso
bandeira bandeira
e e
em em
nosso nosso
crucifixo crucifixo
. .
Eles eles
são ser
COVARDES covarde
. .
