um um_DET_Masc_Sing
jovenzinho jovem_NOUN_Masc_Sing
hoje hoje_ADV
me eu_PRON_Masc_Sing
falou falar_VERB_Fin_Sing
que que_SCONJ
desistiu desistir_VERB_Fin_Sing
de de_ADP
votar votar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
desde desde_ADP
que que_PRON_Rel_Masc_Sing
eu eu_PRON_Sing
mandei mandar_VERB_Fin_Sing
pra pra_ADP
ele ele_PRON_Masc_Sing
o o_DET_Masc_Sing
vídeo vídeo_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
entrevista entrevista_NOUN_Fem_Sing
com com_ADP
a o_DET_Fem_Sing
ellen ellen_ADJ_Fem_Sing
page page_NOUN_Fem_Sing
. .
pronto pronto_INTJ
, ,
já já_ADV
cumpri cumprir_VERB_Fin_Sing
minha meu_DET_Fem_Sing
missão missão_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
terra terra_NOUN_Fem_Sing
, ,
adeus adeus_NOUN_Masc_Sing
