Deixa deixar
eu eu
contar contar
um um
segredo segredo
pra pra
vocês você
: :
Bolsonaro bolsonaro
bate bater
tanto tanto
no em_o
auxílio auxílio
reclusão reclusão
, ,
mas mas
sabe saber
o o
traficante traficante
do de_o
avião avião
presidencial presidencial
? ?
Essa esse
reforma reforma
da de_o
previdência previdência
é ser
tão tão
boa bom
para para
os o
militares militar
que que
, ,
após após
ele ele
ser ser
expulso expulsar
, ,
a o
família família
dele de_ele
vai ir
receber receber
pensão pensão
com com
salário salário
integral integral
até até
ele ele
morrer morrer
. .
