Quando quando
chamavam chamar
o o
presidente presidente
Bolsonaro bolsonaro
de de
ditador ditador
eu eu
pensava pensar
com com
os o
meus meu
botões botão
: :
Se se
o o
PT pt
voltar voltar
pro pro
executivo executivo
, ,
esses esse
filhos filho
da de_o
pvt@ pvt@
vão ir
sentir sentir
na em_o
pele pele
o o
que que
realmente realmente
é ser
uma um
ditadura ditadura
. .
. .
. .
Sem sem
picanha picanha
Sem sem
cervejinha cerveja
Sem sem
gás gás
Sem sem
bolsa bolsa
família família
Sem sem
emprego emprego
E e
logo logo
, ,
sem sem
abrir abrir
a o
boca boca
! !
