@EMoncao twitterhandle_VERB_Fin_Sing
Que que_PRON_Masc_Sing
bom bom_ADJ_Masc_Sing
q q_NOUN_Masc_Sing
ela ela_PRON_Fem_Sing
percebeu perceber_VERB_Fin_Sing
q q_NOUN_Masc_Sing
ele ele_PRON_Masc_Sing
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
única único_ADJ_Fem_Sing
opção opção_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
momento momento_NOUN_Masc_Sing
. .
Antes antes_ADV
ela ela_PRON_Fem_Sing
falava falar_VERB_Fin_Sing
mal mal_ADV
, ,
mas mas_CCONJ
é ser_AUX_Fin_Sing
ele ele_PRON_Masc_Sing
ou ou_CCONJ
a o_DET_Fem_Sing
velha velho_ADJ_Fem_Sing
bandidagem bandidagem_NOUN_Fem_Sing
comunista comunista_ADJ_Fem_Sing
. .
Só só_ADV
temos ter_VERB_Fin_Plur
Bolsonaro bolsonaro_NOUN_Masc_Sing
! !
