Bolsonaro bolsonaro
não não
só só
retirou retirar
força força
de de
um um
Governador governador
de de
estado estado
Ele ele
fortaleceu fortalecer
policiais policial
militares militar
amotinados amotinar
armados armar
e e
encastelados encastelados
em em
quartéis quartel
Jogou jogar
gasolina gasolina
na em_o
fogueira fogueira
no em_o
Ceará ceará
. .
HASHTAG hashtag
#bandnewsfm_h #bandnewsfm_h
HASHTAG hashtag
#jn_h #jn_h
HASHTAG hashtag
#jg_h #jg_h
HASHTAG hashtag
#globonews_h #globonews_h
HASHTAG hashtag
#g1_h #g1_h
