Participei participar
de de
plenária plenário
hj hj
em em
Sumaré sumaré
com com
companheiros companheiro
de de
vários vários
municípios município
de de
São são
Paulo paulo
. .
Debatemos debater
sobre sobre
os o
rumos rumo
do de_o
PT pt
, ,
o o
fortalecimento fortalecimento
da de_o
luta luta
pela por_o
liberdade liberdade
de de
Lula lula
e e
contra contra
os o
desmandos desmando
do de_o
desgoverno desgoverno
Bolsonaro bolsonaro
. .
Buscamos buscar
encontrar encontrar
saídas saída
para para
São são
Paulo paulo
e e
também também
para para
o o
Brasil brasil
. .
