PL pl
das de_o
fake fake
news news
está estar
a a
todo todo
vapor vapor
para para
colocar colocar
uma um
mordaça mordaça
em em
nossas nosso
bocas boca
. .
Será ser
necessário necessário
sairmos sair
as o
ruas rua
e e
fazermos fazer
vigílias vigília
em em
prol prol
da de_o
nossa nosso
liberdade liberdade
que que
está estar
sendo ser
tomada tomar
? ?
Isso isso
não não
é ser
Lula lula
vs vs
Bolsonaro bolsonaro
, ,
mas mas
sim sim
o o
Totalitarismo totalitarismo
vs vs
Liberdade liberdade
de de
opinião opinião
, ,
seja ser
qual qual
for ser
a o
sua seu
! !
