Centrão centrão
armando armar
pra pra
tornar tornar
Jair jair
Rachadinha rachadinha
Bolsonaro bolsonaro
senador senador
vitalício vitalício
! !
! !
É ser
zombar zombar
demais demais
com com
a o
cara cara
da de_o
população população
. .
É ser
o o
grande grande
problema problema
do de_o
pais pai
! !
Não não
são ser
os o
606 606
mil mil
mortos morto
por por
covid covid
, ,
desemprego desemprego
recorde recorde
, ,
inflação inflação
, ,
fome fome
, ,
corrupção corrupção
etc etc
. .
Bolsonaro bolsonaro
tem ter
que que
ser ser
preso prender
