Enquanto enquanto
isso isso
, ,
figuras figura
deploráveis deplorável
como como
o o
presidenciável presidenciável
Bolsonaro bolsonaro
e e
o o
deputado deputado
Wladimir wladimir
Costa costa
( (
da de_o
tatuagem tatuagem
do de_o
Temer temer
) )
encenam encenar
a o
violência violência
: :
o o
primeiro primeiro
posa posar
para para
foto foto
apontando apontar
uma um
arma arma
para para
boneco boneco
do de_o
Lula lula
; ;
o o
segundo segundo
soca socar
um um
professor professor
em em
público público
. .
