@MarceloCRedeTV twitterhandle_PROPN_Masc_Sing
Meu meu_PROPN_Sing
Deus deus_PROPN_Sing
, ,
hoje hoje_ADV
eu eu_PRON_Masc_Sing
acordei acordar_VERB_Fin_Sing
com com_ADP
esse esse_DET_Masc_Sing
mesmo mesmo_ADJ_Masc_Sing
pensamento pensamento_NOUN_Masc_Sing
. .
Esse esse_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
hipócrita hipócrita_ADJ_Masc_Sing
demais demais_ADV
. .
Os o_DET_Masc_Plur
mesmos mesmo_ADJ_Masc_Plur
que que_PRON_Rel_Masc_Plur
levantaram levantar_VERB_Fin_Plur
a a_ADP
tag tag_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
Genocida genocida_PROPN_Sing
. .
Eu eu_PRON_Masc_Sing
vejo ver_VERB_Fin_Sing
nas em_o_ADP_DET_Fem_Plur
minhas meu_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
que que_PRON_Rel_Fem_Plur
são ser_AUX_Fin_Plur
os o_DET_Masc_Plur
mesmos mesmo_ADJ_Masc_Plur
que que_PRON_Rel
fazer fazer_VERB_Inf
festas festa_NOUN_Fem_Plur
de de_ADP
aniversário aniversário_NOUN_Masc_Sing
, ,
vão ir_VERB_Fin_Plur
aos a_o_ADP_DET_Masc_Plur
flutuantes flutuante_ADJ_Masc_Plur
aqui aqui_ADV
Em em_ADP
Manaus manaus_PROPN_Masc_Sing
e e_CCONJ
etc etc_ADV
. .
. .
. .
