Mais mais
um um
pai pai
de de
família família
que que
morre morrer
tentando tentar
defender defender
seu seu
filho filho
. .
Assaltante assaltante
o o
mata matar
na em_o
frente frente
da de_o
criança criança
. .
Logo logo
na em_o
sequência sequência
a o
apresentadora apresentador
da de_o
Globonews globonews
com com
cara cara
de de
esfinge esfinge
mostra mostrar
a o
manifestação manifestação
contra contra
Bolsonaro bolsonaro
. .
Dia dia
07 @card@
isso isso
vai ir
começar começar
a a
mudar mudar
. .
