@UOLNoticias twitterhandle
Então então
vamos ir
ao a_o
resumo resumo
: :
Bolsonaro bolsonaro
inseriu inserir
seus seu
filhos filho
na em_o
carreira carreira
de de
milicianos miliciano
na em_o
política política
; ;
suas seu
esposas esposo
e e
até até
sua seu
idosa idoso
, ,
mãe mãe
. .
Compraram comprar
no em_o
total total
107 @card@
imóveis imóvel
, ,
sendo ser
51 51
em em
dinheiro dinheiro
vivo vivo
. .
Lavagem lavagem
de de
dinheiro dinheiro
, ,
peculato peculato
e e
muito muito
mais mais
. .
Isso isso
não não
é ser
uma um
família família
, ,
isso isso
é ser
uma um
máfia máfia
. .
