Nada nada
de de
faroeste faroeste
? ?
HASHTAG hashtag
#vempracabrasil_h #vempracabrasil_h
flag_brazil_e flag_brazil_e
Mais mais
uma um
decepção decepção
. .
winking_face_e winking_face_e
HASHTAG hashtag
#2020juntoscombolsonaro_h #2020juntoscombolsonaro_h
" "
Registros registro
de de
armas arma
de de
fogo fogo
aumentaram aumentar
48 48
% %
; ;
homicídios homicídio
caíram cair
22 22
% %
. .
Com com
base base
nesses em_esse
números número
, ,
Bolsonaro bolsonaro
pressiona pressionar
Congresso congresso
a a
ampliar ampliar
porte porte
e e
posse posse
de de
armas arma
. .
" "
