Bomba bomba
! !
Reportagem reportagem
mostra mostrar
que que
Bolsonaro bolsonaro
e e
sua seu
família família
compraram comprar
51 51
imóveis imóvel
em em
dinheiro dinheiro
vivo vivo
! !
Essa esse
prática prática
é ser
comum comum
na em_o
lavagem lavagem
de de
dinheiro dinheiro
vindo vir
de de
atividades atividade
criminosas criminoso
. .
Você você
conhece conhecer
alguém alguém
que que
compra comprar
casas casa
em em
dinheiro dinheiro
? ?
Pois pois
agora agora
conhece conhecer
várias várias
. .
HASHTAG hashtag
#bolsonaronacadeia_h #bolsonaronacadeia_h
HASHTAG hashtag
#forabolsonaro_h #forabolsonaro_h
