Bolsonaro bolsonaro
queria querer
pagar pagar
apenas apenas
200 200
reais real
para para
o o
nosso nosso
povo povo
. .
Mas mas
, ,
foi ser
aprovado aprovar
a o
renda renda
básica básico
emergencial emergencial
. .
Ele ele
tem ter
agora agora
a o
obrigação obrigação
de de
sancionar sancionar
e e
pagar pagar
o o
benefício benefício
de de
R$600 r$600
ou ou
R$1 r$1
, ,
2mil 2mil
às a_o
famíÓRIA famíória
DO de_o
POVO povo
BRASILEIRO brasileiro
! !
LUTA luta
DO de_o
PT pt
E e
DA de_o
OPOSIÇÃO oposição
. .
@PTnaCamara twitterhandle
HASHTAG hashtag
#pagalogobolsonaro_h #pagalogobolsonaro_h
