Grave grave
relato relato
de de
pessoas pessoa
em em
situação situação
de de
rua rua
e e
do de_o
Movimento movimento
Nacional nacional
de de
Moradores moradores
em em
Situação situação
de de
Rua rua
( (
MNMR mnmr
) )
afirma afirmar
q q
policiais policial
usaram usar
tortura tortura
contra contra
2homens 2homens
, ,
com com
afogamento afogamento
e e
asfixia asfixia
úmida úmido
seguido seguir
pelo por_o
uso uso
de de
taser taser
( (
arma arma
de de
eletrochoque eletrochoque
) )
. .
No em_o
@sul21 twitterhandle
. .
