Metade metade_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
seus seu_DET_Masc_Plur
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
família família_NOUN_Fem_Sing
compraram comprar_VERB_Fin_Plur
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
. .
Cheques cheque_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
Queiroz queiroz_PROPN_Masc_Sing
pra pra_ADP
Michelle michelle_PROPN_Sing
, ,
relações relação_NOUN_Fem_Plur
com com_ADP
acusados acusado_NOUN_Masc_Plur
de de_ADP
matar matar_VERB_Inf
, ,
corrupção corrupção_NOUN_Fem_Sing
 "  "
secreta secreto_NOUN_Fem_Sing
 "  "
no em_o_ADP_DET_Masc_Sing
orçamento orçamento_NOUN_Masc_Sing
de de_ADP
R$ r$
54 54_NUM
bilhões bilhão_NOUN_Masc_Plur
etc etc_ADV
. .
Perguntas pergunta_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
o o_DET_Masc_Sing
JN jn_PROPN_Masc_Sing
e e_CCONJ
candidatos candidato_NOUN_Masc_Plur
não não_ADV
fizeram fazer_VERB_Fin_Plur
a a_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
: :
