Bolsonarismos bolsonarismos
, ,
profissionais profissional
e e
militantes militante
, ,
idolatram idolatrar
Vladimir vladimir
Putin putin
e e
lambem lambar
suas seu
botas bota
, ,
em em
nome nome
do de_o
anti-globalismo anti-globalismo
boçal boçal
e e
do de_o
anti-progressismo anti-progressismo
extremado extremado
, ,
vêem ver
Putin putin
como como
" "
conservador conservador
" "
, ,
na em_o
verdade verdade
é ser
AUTOCRATA autocrata
REACIONÁRIO reacionário
VAGABUNDO vagabundo
, ,
inimigo inimigo
número número
1 1
da de_o
ordem ordem
liberal liberal
democrática democrático
. .
