@Bolsonaro_Q1 twitterhandle_PROPN_Fem_Sing
Gratidão gratidão_PROPN_Sing
, ,
agradeço agradecer_VERB_Fin_Sing
por por_ADP
me eu_PRON_Masc_Sing
seguir seguir_VERB_Inf
e e_CCONJ
já já_ADV
estou estar_AUX_Fin_Sing
te tu_PRON_Masc_Sing
seguindo seguir_VERB_Ger
de de_ADP
volta volta_NOUN_Fem_Sing
, ,
se se_SCONJ
você você_PRON_Sing
puder poder_VERB_Fin_Sing
avise avisar_VERB_Fin_Sing
aos a_o_ADP_DET_Masc_Plur
seus seu_DET_Masc_Plur
seguidores seguidor_NOUN_Masc_Plur
que que_PRON_Rel_Masc_Plur
eu eu_PRON_Fem_Sing
sigo seguir_VERB_Fin_Sing
todos todo_PRON_Masc_Plur
de de_ADP
volta volta_NOUN
afinal afinal_ADV
nós nós_PRON_Plur
devemos dever_AUX_Fin_Plur
nos nós_PRON_Plur
unir unir_VERB_Inf
contra contra_ADP
esse esse_DET_Masc_Sing
comunismo comunismo_NOUN_Masc_Sing
sedento sedento_ADJ_Masc_Sing
pra pra_ADP
voltar voltar_VERB_Inf
na em_o_ADP_DET_Fem_Sing
cena cena_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Crime crime_NOUN_Masc_Sing
. .
Deus deus_PROPN_Masc_Sing
te tu_PRON_Masc_Sing
Abençoe abençoar_VERB_Fin_Sing
. .
folded_hands_e folded_hands_e
flag_brazil_e flag_brazil_e
flexed_biceps_e flexed_biceps_e
