@Miguel75031150 twitterhandle_NOUN_Masc_Sing
Não não_ADV
me eu_PRON_Masc_Sing
fud*u fud*u
não não_ADV
, ,
muito muito_ADV
pelo por_o_ADP_DET_Masc_Sing
contrário contrário_NOUN_Masc_Sing
e e_CCONJ
com com_ADP
opções opção_NOUN_Fem_Plur
como como_ADP
Sérgio sérgio_PROPN_Masc_Sing
Moro moro_PROPN_Sing
e e_CCONJ
Bolsonaro bolsonaro_PROPN_Sing
eu eu_PRON_Sing
voto votar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
sem sem_ADP
nem nem_ADV
precisar precisar_VERB_Fin_Sing
pensar pensar_VERB_Inf
! !
! !
! !
! !
Como como_ADV
disse dizer_VERB_Fin_Sing
, ,
tenho ter_VERB_Fin_Sing
consciência consciência_NOUN_Fem_Sing
de de_ADP
classe classe_NOUN_Fem_Sing
e e_CCONJ
sei saber_VERB_Fin_Sing
muito muito_ADV
bem bem_ADV
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
foi ser_AUX_Fin_Sing
feito fazer_VERB_Part_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
meu meu_DET_Masc_Sing
favor favor_NOUN_Masc_Sing
, ,
da de_o_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
passava passar_VERB_Fin_Sing
fome fome_NOUN_Fem_Sing
e e_CCONJ
pela por_o_ADP_DET_Fem_Sing
minha meu_DET_Fem_Sing
família família_NOUN_Fem_Sing
! !
