RT rt_PROPN_Masc_Sing
@AnaPaulaGarci2 twitterhandle_PROPN_Sing
: :
Teve ter_VERB_Fin_Sing
fraude fraude_NOUN_Fem_Sing
! !
E e_CCONJ
Agora agora_ADV
? ?
Bolsomaro bolsomaro_PROPN_Masc_Sing
vai ir_AUX_Fin_Sing
aceitar aceitar_VERB_Inf
? ?
E e_CCONJ
as o_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armado_ADJ_Fem_Plur
, ,
vão ir_AUX_Fin_Plur
ficar ficar_VERB_Inf
quietas quieto_ADJ_Fem_Plur
? ?
Se se_SCONJ
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
, ,
não não_ADV
fi fi_VERB_Fin_Sing
… …
