@v1_jju twitterhandle
O o
próprio próprio
Bolsonaro bolsonaro
já já
declarou declarar
que que
família família
é ser
um um
conceito conceito
que que
envolve envolver
um um
homem homem
e e
uma um
mulher mulher
e e
filhos filho
, ,
ou ou
seja ser
, ,
tecnicamente tecnicamente
ele ele
não não
reconhece reconhecer
que que
os o
gays gay
tem ter
os o
mesmos mesmo
direitos direito
. .
Os o
caras cara
tem ter
liberdade liberdade
de de
apoio apoio
, ,
mas mas
não não
dá dar
pra pra
fingir fingir
que que
não não
causa causar
estranheza estranheza
. .
