@drmaurojr twitterhandle_NOUN_Masc_Sing
@leandroruschel twitterhandle_ADJ_Masc_Sing
É ser_AUX_Fin_Sing
raro raro_ADJ_Masc_Sing
a a_ADP
Agrishow agrishow_PROPN_Masc_Sing
ñ ñ_VERB_Fin_Sing
receber receber_VERB_Inf
na em_o_ADP_DET_Fem_Sing
sua seu_DET_Fem_Sing
abertura abertura_NOUN_Fem_Sing
o o_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
República república_NOUN_Fem_Sing
e e_CCONJ
também também_ADV
o o_DET_Masc_Sing
ministro ministro_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
agricultura agricultura_NOUN_Fem_Sing
. .
A o_DET_Fem_Sing
verdade verdade_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
Luladrão luladrão_NOUN_Masc_Sing
ñ ñ_ADJ_Masc_Sing
teria ter_AUX_Fin_Sing
coragem coragem_NOUN_Fem_Sing
de de_ADP
vir vir_AUX_Inf
até até_ADP
a o_DET_Fem_Sing
feira feira_NOUN_Fem_Sing
e e_CCONJ
pegar pegar_VERB_Inf
o o_DET_Masc_Sing
microfone microfone_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
mão mão_NOUN_Fem_Sing
pra pra_ADP
falar falar_VERB_Inf
um um_DET_Masc_Sing
 "  "
A a_NOUN_Masc_Sing
 "  "
que que_PRON_Rel_Masc_Sing
seja ser_VERB_Fin_Sing
, ,
pois pois_SCONJ
sabe saber_VERB_Fin_Sing
q q_NOUN_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
bem bem_ADV
vindo vir_VERB_Part_Masc_Sing
, ,
ele ele_PRON_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
bobo bobo_ADJ_Masc_Sing
. .
