@Amaro_Coronel twitterhandle
Boa bom
tarde tarde
Coronel coronel
. .
O o
senhor senhor
está estar
mais mais
calmo calmo
? ?
Nossa nosso
turma turma
precisa precisar
se se
acalmar acalmar
. .
O o
movimento movimento
não não
é ser
por por
causa causa
do de_o
Bolsonaro bolsonaro
e e
família família
e e
sim sim
pela por_o
: :
FRAUDE fraude
, ,
Contra contra
o o
comunismo comunismo
a a
empreita empreita
, ,
Pelo pelo
nossos nosso
jovens jovem
e e
pela por_o
a o
nossa nosso
NAÇÃO nação
. .
oncoming_fist_e oncoming_fist_e
raising_hands_e raising_hands_e
green_heart_e green_heart_e
flag_brazil_e flag_brazil_e
