@77_frota twitterhandle
Por por
isso isso
que que
vc vc
não não
foi ser
reeleito reeleger
e e
nem nem
será ser
mais mais
. .
. .
. .
Falta falta
de de
respeito respeito
com com
os o
brasileiros brasileiro
, ,
que que
talvez talvez
já já
até até
votou votar
em em
vc vc
. .
. .
. .
Incompetente incompetente
! !
! !
Se se
reduza reduzir
a o
sua seu
insignificância insignificância
. .
. .
. .
Invejoso invejoso
! !
! !
Deus deus
abençoe abençoar
e e
proteja proteger
o o
nosso nosso
querido querido
Presidente presidente
Bolsonaro bolsonaro
! !
! !
flag_brazil_e flag_brazil_e
