provoca provocar
bolsonaristas bolsonaristas
? ?
Bem bem
antes antes
de de
Bolsonaro bolsonaro
a a
@RedeGlobo twitterhandle
perde perder
audiência audiência
pelo por_o
" "
conjunto conjunto
da de_o
obra obra
" "
. .
Perde perder
tanto tanto
q q
está estar
reduzindo reduzir
despesas despesa
demitindo demitir
direto direto
. .
O o
controle controle
remoto remoto
é ser
a o
melhor bom
arma arma
para para
quem quem
não não
se se
interessa interessar
por por
sacanagem sacanagem
travestida travestido
de de
" "
arte arte
" "
. .
