@BolsonaroSP twitterhandle
+ +
50 50
milhões milhão
d3 d3
Brasileiros brasileiro
q q
usam usar
Deus deus
p p
/ /
salvar salvar
acabaram acabar
mostrando mostrar
q q
são ser
os o
piores mau
do de_o
mundo mundo
são ser
os o
q q
+ +
deixam deixar
claro claro
isso isso
. .
Povo povo
votou votar
em em
Bolsonaro bolsonaro
, ,
pois pois
ele ele
não não
apresentou apresentar
plano plano
de de
governo governo
. .
Votaram votar
nele em_ele
por por
afinidade afinidade
ao a_o
ÓDIO ódio
, ,
VIOLÊNCIA violência
, ,
DESTRUIÇÃO destruição
, ,
MORTE morte
DE de
INOCENTES inocentes
! !
