@oiluiz twitterhandle
Absurdo absurdo
intolerável intolerável
a o
nomeação nomeação
dessa de_esse
figurinha figura
esquerdopata esquerdopata
, ,
nossa nosso
inimiga inimigo
, ,
que que
atacou atacar
Bolsonaro bolsonaro
de de
forma forma
suja sujo
, ,
defende defender
tudo tudo
o o
que que
não não
presta prestar
( (
drogas droga
, ,
aborto aborto
, ,
desarmamento desarmamento
, ,
etc etc
) )
e e
é ser
amiguinha amigo
só só
de de
gente gente
que que
não não
presta prestar
( (
inclusive inclusive
FHC fhc
e e
o o
demônio demônio
Soros soros
) )
. .
Demite demitir
já já
, ,
Moro moro
! !
HASHTAG hashtag
#ilonanão_h #ilonanão_h
