Do de_o
dia dia
p p
/ /
noite noite
o o
Brasil brasil
não não
tem ter
mais mais
o o
Bolsa bolsa
Família família
, ,
nem nem
o o
Minha meu
Casa casa
Minha meu
Vida vida
, ,
nem nem
o o
Mais mais
Médicos médicos
… …
E e
tantos tanto
outros outro
programas programa
de de
inclusão inclusão
social social
e e
distribuição distribuição
de de
renda renda
sufocados sufocar
por por
Bolsonaro bolsonaro
e e
seu seu
clã clã
! !
O o
resultado resultado
? ?
Quase quase
30 30
milhões milhão
vivendo viver
na em_o
extrema extremo
pobreza pobreza
. .
Dilma dilma
avisou avisar
! !
