Michelle michelle
Bolsonaro bolsonaro
e e
sua seu
família família
envolvida envolver
com com
milicianos miliciano
, ,
sua seu
avó avó
morando morar
em em
uma um
favela favela
, ,
seu seu
tio tio
envolvido envolver
em em
homicídio homicídio
e e
grilagem grilagem
de de
terras terra
, ,
apesar apesar
de de
ser ser
lotado lotar
em em
um um
batalhão batalhão
e e
ganhar ganhar
mais mais
de de
8 8
mil mil
por por
mês mês
, ,
Bolsonaro bolsonaro
envolvido envolver
com com
milicianos miliciano
uma um
vida vida
toda todo
! !
VERGONHA vergonha
! !
