Todo todo
cristão cristão
brasileiro brasileiro
minimamente minimamente
informado informar
já já
entendeu entender
que que
para para
apoiar apoiar
a o
esquerda esquerda
e e
o o
Lula lula
em em
2022 @card@
é ser
preciso preciso
, ,
antes antes
, ,
se se
aliar aliar
a o
Belzebú belzebú
a a
favor favor
de de
infanticídio infanticídio
( (
aborto aborto
) )
, ,
ideologia ideologia
de de
gênero gênero
nas em_o
escolas escola
, ,
socialismo socialismo
, ,
censura censura
, ,
liberação liberação
das de_o
drogas droga
, ,
livro livro
didático didático
para para
crianças criança
