Google google
diz dizer
que que
PL pl
das de_o
Fake fake
News news
pode poder
prejudicar prejudicar
jornalismo jornalismo
Democracia democracia
não não
é ser
ficar ficar
divulgando divulgar
fake fake
news news
, ,
difamando difamar
as o
pessoas pessoa
, ,
como como
faz fazer
a o
turma turma
do de_o
PL pl
, ,
Bolsonaro bolsonaro
e e
seus seu
filhos filho
. .
Liberdade liberdade
de de
expressão expressão
e e
imprensa imprensa
, ,
é ser
outra outro
coisa coisa
. .
É ser
seriedade seriedade
nas em_o
informações informação
. .
