Você você_PRON_Fem_Sing
que que_PRON_Rel_Fem_Sing
aprendeu aprender_VERB_Fin_Sing
com com_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
que que_SCONJ
bandido bandido_NOUN_Masc_Sing
bom bom_ADJ_Masc_Sing
é ser_AUX_Fin_Sing
bandido bandido_ADJ_Masc_Sing
morto morrer_VERB_Part_Masc_Sing
como como_ADV
se se_PRON
sentiu sentir_VERB_Fin_Sing
ao a_o_ADP_DET_Masc_Sing
descobrir descobrir_VERB_Inf
que que_SCONJ
o o_DET_Masc_Sing
 "  "
mito mito_NOUN_Masc_Sing
 "  "
é ser_AUX_Fin_Sing
ladrão ladrão_NOUN_Masc_Sing
de de_ADP
cofre cofre_NOUN_Masc_Sing
? ?
face_with_hand_over_mouth_e face_with_hand_over_mouth_e
HASHTAG hashtag_PROPN_Sing
#bolsonaronacadeia_h #bolsonaronacadeia_h
