@JairoNicolau1 twitterhandle
Bolsonaro bolsonaro
desfila desfilar
ignorância ignorância
. .
Chama chamar
golpe golpe
militar militar
de de
revolução revolução
. .
Não não
sabe saber
nada nada
de de
economia economia
. .
Quer querer
liberar liberar
o o
porte porte
de de
arma arma
como como
alguém alguém
que que
quer querer
apagar apagar
incêndio incêndio
jogando jogar
gasolina gasolina
. .
Enfim enfim
, ,
as o
pessoas pessoa
que que
se se
identificam identificar
com com
ele ele
demonstram demonstrar
o o
apreço apreço
pela por_o
ignorância ignorância
. .
