RT rt_PROPN_Masc_Sing
@Dandarosa2021 twitterhandle_PROPN_Sing
: :
Família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
usou usar_VERB_Fin_Sing
dinheiro dinheiro_NOUN_Masc_Sing
público público_ADJ_Masc_Sing
para para_ADP
comprar comprar_VERB_Inf
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
! !
Isso isso_PRON_Masc_Sing
é ser_AUX_Fin_Sing
roubo roubo_NOUN_Masc_Sing
! !
Cadê cadê_ADV
COAF coaf_PROPN_Masc_Sing
? ?
IMÓVEIS imóvel_NOUN_Masc_Plur
TE te_VERB_Fin_Plur
… …
