@capitaoderrite twitterhandle
Vc vc
como como
deputado deputado
federal federal
, ,
policial policial
da de_o
ROTA rota
, ,
conseguiu conseguir
qto qto
de de
investimento investimento
p p
PMSP pmsp
? ?
Está estar
investigando investigar
o o
desvio desvio
de de
60 60
toneladas tonelada
de de
armamentos armamento
e e
munições munição
do de_o
exército exército
, ,
q q
foram ser
parar parar
nas em_o
mãos mão
do de_o
crime crime
organizado organizar
ou ou
como como
é ser
governo governo
bolsonaro bolsonaro
não não
quis querer
nem nem
saber saber
disso de_isso
? ?
