Hoje hoje
é ser
dia dia
26 26
/ /
02 @card@
/ /
2019 @card@
! !
Quando quando
será ser
o o
depoimento depoimento
do de_o
Fabrício fabrício
Queiroz queiroz
? ?
! !
E e
o o
do de_o
Flávio flávio
Bolsonaro bolsonaro
? ?
E e
da de_o
esposa esposo
e e
filhas filha
do de_o
Queiroz queiroz
? ?
E e
o o
cheque cheque
da de_o
Michele michele
Bolsonaro bolsonaro
? ?
O o
Jair jair
? ?
As o
investigações investigação
? ?
E e
os o
milicianos miliciano
? ?
Famílias família
? ?
Marielle marielle
? ?
MEC mec
é ser
mais mais
uma um
fumaça fumaça
. .
. .
. .
HASHTAG hashtag
#bolsofamilia_h #bolsofamilia_h
HASHTAG hashtag
#queiroz_h #queiroz_h
