Se se
o o
Presidente presidente
" "
corre correr
" "
o o
risco risco
de de
ser ser
impeachmado impeachmado
por por
cometer cometer
crime crime
de de
improbidade improbidade
ao a_o
nomear nomear
Decotelli decotelli
como como
ministro ministro
, ,
resta restar
saber saber
QUEM quem
INDICOU indicar
CARLOS carlos
ALBERTO alberto
para para
a o
pasta pasta
E e
SUPOSTAMENTE supostamente
sabia saber
do de_o
falso falso
currículo currículo
e e
QUERIA queria
QUE que
ISSO isso
ACONTECESSE acontecer
AO a_o
JAIR jair
. .
Armação armação
? ?
thinking_face_e thinking_face_e
