@jairbolsonaro twitterhandle
Boa bom
tarde tarde
, ,
presidente presidente
Bolsonaro bolsonaro
, ,
Deus deus
o o
abençoe abençoar
e e
proteja proteger
sempre sempre
. .
folded_hands_e folded_hands_e
Que que
saudades saudade
do de_o
seu seu
governo governo
, ,
TODO todo
em em
prol prol
do de_o
povo povo
e e
do de_o
país país
. .
O o
seu seu
, ,
Jair jair
Messias messias
Bolsonaro bolsonaro
, ,
foi ser
o o
melhor bom
governo governo
que que
o o
Brasil brasil
teve ter
. .
Obrigada obrigado
por por
tudo tudo
! !
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
blue_heart_e blue_heart_e
white_heart_e white_heart_e
flag_brazil_e flag_brazil_e
