A a_ADP
Mackenzie mackenzie_PROPN_Masc_Sing
decidiu decidir_VERB_Fin_Sing
pela por_o_ADP_DET_Fem_Sing
punição punição_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
aluno aluno_NOUN_Masc_Sing
de de_ADP
Direito direito_PROPN_Masc_Sing
, ,
que que_PRON_Rel_Masc_Sing
aparece aparecer_VERB_Fin_Sing
nas em_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
dizendo dizer_VERB_Ger
que que_SCONJ
a o_DET_Fem_Sing
' '
negraiada negraiada_NOUN_Fem_Sing
vai ir_AUX_Fin_Sing
morrer morrer_VERB_Inf
' '
. .
Usando usar_VERB_Ger
blusa blusa_NOUN_Fem_Sing
com com_ADP
o o_DET_Masc_Sing
rosto rosto_NOUN_Masc_Sing
de de_ADP
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
, ,
ele ele_PRON_Masc_Sing
falou falar_VERB_Fin_Sing
que que_SCONJ
votaria votar_VERB_Fin_Sing
armado armar_VERB_Part_Masc_Sing
, ,
' '
louco louco_ADJ_Masc_Sing
para para_ADP
ver ver_VERB_Inf
um um_DET_Masc_Sing
vadio vadio_NOUN_Masc_Sing
com com_ADP
camiseta camiseta_NOUN_Fem_Sing
vermelha vermelho_ADJ_Fem_Sing
e e_CCONJ
já já_ADV
matar matar_VERB_Inf
' '
. .
