@UOLNoticias twitterhandle
Não não
só só
isso isso
. .
É ser
um um
dos de_o
acertos acerto
, ,
pois pois
Jair jair
Bolsonaro bolsonaro
não não
é ser
um um
liberalóide liberalóide
, ,
ele ele
é ser
conservador conservador
, ,
eleito eleger
pela por_o
maioria maioria
conservadora conservador
e e
cristã cristão
. .
Essa esse
é ser
a o
base base
dele de_ele
, ,
do de_o
programa programa
dele de_ele
. .
A o
convergência convergência
com com
as o
ideias ideia
econômicas econômico
capitalistas capitalista
( (
liberais liberal
só só
na em_o
economia economia
) )
é ser
uma um
consequência consequência
da de_o
base base
. .
