@gilsonpleal twitterhandle
governo governo
quer querer
se se
eximir eximir
da de_o
responsabilidade responsabilidade
da de_o
segurança segurança
publica publicar
. .
por por
isso isso
quer querer
cada cada
cidadão cidadão
com com
uma um
arma arma
na em_o
mão mão
. .
isso isso
não não
vai ir
resolver resolver
o o
problema problema
da de_o
criminalidade criminalidade
pois pois
não não
somos ser
treinados treinar
para para
o o
combate combate
, ,
nem nem
para para
reagir reagir
a a
um um
ataque ataque
. .
sou ser
a a
favor favor
da de_o
posse posse
e e
contra contra
o o
porte porte
de de
arma arma
. .
