@cesarcalejon1 twitterhandle_PROPN_Fem_Sing
Sou ser_AUX_Fin_Sing
motoboy motoboy_NOUN_Masc_Sing
senti sentir_VERB_Fin_Sing
o o_DET_Masc_Sing
reflexo reflexo_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
preconceito preconceito_NOUN_Masc_Sing
pregado pregar_VERB_Part_Masc_Sing
por por_ADP
bolsonaro bolsonaro_NOUN_Masc_Sing
nessa em_esse_ADP_DET_Fem_Sing
onda onda_NOUN_Fem_Sing
de de_ADP
bandido bandido_NOUN_Masc_Sing
morto morto_ADJ_Masc_Sing
, ,
motoristas motorista_NOUN_Masc_Plur
bolsonaristas bolsonaristas_VERB_Fin_Sing
me eu_PRON_Masc_Sing
confundindo confundir_VERB_Part
com com_ADP
bandido bandido_ADJ_Masc_Sing
pareando parear_VERB_Part
o o_DET_Masc_Sing
carro carro_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
traseira traseira_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
minha meu_DET_Fem_Sing
moto moto_NOUN_Fem_Sing
querendo querer_VERB_Part
me eu_PRON_Masc_Sing
atropelar atropelar_VERB_Inf
e e_CCONJ
eu eu_PRON_Fem_Sing
saia saia_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
alvo alvo_NOUN_Masc_Sing
, ,
se se_PRON_Masc_Sing
me eu_PRON_Sing
atropelasse atropelasse_VERB_Fin_Sing
iria ir_AUX_Fin_Sing
dizer dizer_VERB_Inf
que que_SCONJ
eu eu_PRON_Sing
era ser_AUX_Fin_Sing
ladrão ladrão_ADJ_Masc_Sing
. .
