Bolsonaro bolsonaro
que que
tava tava
muito muito
ocupado ocupar
blindando blindando
a o
familícia familícia
dos de_o
processos processo
, ,
veio vir
sobrevoar sobrevoar
SC sc
pra pra
ver ver
os o
estragos estrago
provocados provocar
pelo por_o
ciclone ciclone
. .
Decerto decerto
pra pra
ele ele
atuar atuar
em em
políticas política
de de
proteção proteção
ao a_o
povo povo
e e
combate combate
a a
covid covid
19 19
vai ir
ter ter
que que
visitar visitar
as o
famílias família
dos de_o
mais mais
de de
60 60
mil mil
mortos morto
. .
. .
. .
Sei saber
! !
