Qdo qdo
Bolsonaro bolsonaro
estava estar
no em_o
hospital hospital
pela por_o
facada facada
, ,
surgiu surgir
noticia noticiar
de de
infecção infecção
, ,
teve ter
bloguista bloguista
PT pt
que que
seus seu
olhos olho
brilhavam brilhar
de de
alegria alegria
, ,
uns um
até até
previram prever
sua seu
morte morte
, ,
hoje hoje
os o
mesmos mesmo
satirizam satirizar
e e
chamam chamar
de de
FacadaFake facadafake
ESSES esses
IMBECIS imbecis
ESTÃO estão
PREOCUPADOS preocupados
C c
/ /
GUERRILHEIRO guerrilheiro
COMUNISTA comunista
MORTO morto
HÁ há
50ANOS 50anos
? ?
