@Henrique6Mari twitterhandle_NOUN_Masc_Sing
Tem ter_VERB_Fin_Sing
que que_SCONJ
te tu_PRON_Masc_Sing
mete meter_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
cadeia cadeia_NOUN_Fem_Sing
ladrão ladrão_NOUN_Masc_Sing
corrupto corrupto_ADJ_Masc_Sing
safado safado_NOUN_Masc_Sing
borracho borracho_ADJ_Masc_Sing
tu tu_VERB_Fin_Sing
tá estar_AUX_Fin_Sing
bêbado bêbado_ADJ_Masc_Sing
querendo querer_VERB_Part
tira tira_NOUN_Masc_Sing
bolsonaro bolsonaro_ADJ_Masc_Sing
marra marrar_VERB_Fin_Sing
Jair jair_PROPN_Masc_Sing
