Bolsonaro bolsonaro
vai ir
colocar colocar
ordem ordem
no em_o
Brasil brasil
! !
Vai ir
como como
? ?
Matando matar
e e
torturando torturar
. .
Os o
primeiros primeiro
serão ser
os o
favelados favelado
, ,
depois depois
os o
gays gay
, ,
negros negro
, ,
índios índio
. .
As o
mulheres mulher
serão ser
colocadas colocar
num em_um
papel papel
" "
ainda ainda
mais muito
" "
de de
submissão submissão
. .
Cdadãos cdadãos
de de
bem bem
enrolados enrolar
na em_o
bandeira bandeira
nacional nacional
falando falar
sobre sobre
seu seu
deus deus
" "
de de
amor amor
" "
