Bolsonaro bolsonaro
não não
é ser
um um
santo santo
milagreiro milagreiro
, ,
não não
é ser
o o
salvador salvador
da de_o
pátria pátria
, ,
é ser
apenas apenas
um um
homem homem
lutando lutar
por por
uma um
nação nação
afundada afundar
na em_o
lama lama
há há
anos ano
por por
governos governo
anteriores anterior
! !
thumbs_up_e thumbs_up_e
flag_brazil_e flag_brazil_e
smiling_face_with_sunglasses_e smiling_face_with_sunglasses_e
backhand_index_pointing_right_e backhand_index_pointing_right_e
HASHTAG hashtag
#bolsonaro2022_h #bolsonaro2022_h
