Bolsonaro bolsonaro_VERB_Fin_Sing
Presidente presidente_NOUN_Masc_Sing
, ,
é ser_AUX_Fin_Sing
para para_ADP
o o_DET_Masc_Sing
bem bem_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
Família família_NOUN_Fem_Sing
, ,
da de_o_ADP_DET_Fem_Sing
crença crença_NOUN_Fem_Sing
religiosa religioso_ADJ_Fem_Sing
, ,
do de_o_ADP_DET_Masc_Sing
crescimento crescimento_NOUN_Masc_Sing
econômico econômico_ADJ_Masc_Sing
, ,
educacional educacional_ADJ_Masc_Sing
, ,
amor amor_NOUN_Masc_Sing
a a_ADP
Pátria pátria_NOUN_Fem_Sing
. .
. .
. .
. .
Chega chegar_VERB_Fin_Sing
de de_ADP
ideologia ideologia_NOUN_Fem_Sing
burra burro_ADJ_Fem_Sing
, ,
de de_ADP
bandidos bandido_NOUN_Masc_Plur
e e_CCONJ
drogados drogado_NOUN_Masc_Plur
tocando tocar_VERB_Part
o o_DET_Masc_Sing
terror terror_NOUN_Masc_Sing
numa em_um_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
amedrontada amedrontado_ADJ_Fem_Sing
, ,
desarmada desarmar_VERB_Part_Fem_Sing
, ,
e e_CCONJ
sem sem_ADP
dinheiro dinheiro_NOUN_Masc_Sing
. .
