@rsallesmma twitterhandle
Vão vão
normalizar normalizar
o o
GOLPE golpe
? ?
Vão ir
jogar jogar
a o
toalha toalha
diante diante
de de
tantos tanto
indícios indício
, ,
de de
tantos tanto
crimes crime
contra contra
a o
nossa nosso
Constituição constituição
? ?
Cadê cadê
os o
patriotas patriota
e e
filhos filho
de de
Deus deus
? ?
Bolsonaro bolsonaro
perdeu perder
por por
pouco pouco
pra pra
não não
duvidarem duvidar
das de_o
urnas urna
, ,
estratégia estratégia
pra pra
roubar roubar
. .
. .
. .
vamos ir
pra para_o
rua rua
questionar questionar
. .
