@RodrigoMaia twitterhandle
Seu seu
traidor traidor
do de_o
povo povo
brasileiro brasileiro
! !
Você você
mexeu mexer
com com
o o
povo povo
que que
paga pagar
seu seu
salário salário
e e
que que
ESCOLHEU escolher
por por
voto voto
direto direto
o o
nosso nosso
querido querido
presidente presidente
Bolsonaro bolsonaro
! !
Deus deus
está estar
do de_o
nosso nosso
lado lado
, ,
do de_o
lado lado
da de_o
verdade verdade
que que
vcs vcs
tentam tentar
transformar transformar
em em
mentira mentira
e e
armadilha armadilha
para para
o o
nosso nosso
presidente presidente
! !
O o
POVO povo
LHE lhe
ODEIA odeia
! !
